No.,Tipo de Obra,Descripción de la Obra,Delegación,P1,P2,P3,Superficie en m2 rehabilitada,Inversión Ejecutada,Metros Lineales
1,CONCRETO ECOLOGICO,"CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO DE LA CALLE SABINOS ENTRE CALLE DE LOS GIGANTES Y ANDADOR DE SAN LUIS OBISPO, MUNICIPIO DE TOLUCA",BARRIOS TRADICIONALES,"19.301844, -99.662313","19.302263, -99.662332","19.302776, -99.662509",832,"$1,758,737.77",128
2,CONCRETO ECOLOGICO,"CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO DE LA CALLE BICENTENARIO ENTRE CALLE MIGUEL HIDALGO Y CALLE INSURGENTES, DEL. SAN CRISTÓBAL HUICHOCHITLAN, MUNICIPIO DE TOLUCA",SAN CRISTOBAL HUICHOCHITLAN,"19.337013, -99.636824",,,763,"$1,527,888.27",117.38
3,CONCRETO ECOLOGICO,"CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE PARQUE NEVADO DE TOLUCA ENTRE CALLE PARQUE DE LOS REMEDIOS Y CALLE PARQUE JOSÉ MARÍA VELAZCO, MUNICIPIO DE TOLUCA",ADOLFO LOPEZ MATEOS,"19.283556, -99.698096","19.283632, -99.697582","19.283708, -99.697054",890,"$1,786,925.94",136.92
4,CONCRETO ECOLOGICO,"CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE PARQUE POPOCATÉPETL ENTRE CALLE PARQUE NEVADO DE TOLUCA Y CALLE PARQUE DE BOSENCHEVE, MUNICIPIO DE TOLUCA",ADOLFO LOPEZ MATEOS,"19.284063, -99.691871","19.284540, -99.691903","19.285008, -99.691926",810,"$1,762,428.28",124.62
5,CONCRETO ECOLOGICO,"CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE ISLA DE LAS AVES ENTRE CALLE PARQUE POPOCATÉPETL Y CALLE PARQUE SIERRA MORELOS, MUNICIPIO DE TOLUCA.",ADOLFO LOPEZ MATEOS,"19.280401, -99.691559","19.280422, -99.691058","19.280452, -99.690522",860,"$1,738,417.05",132.31
6,CONCRETO ECOLOGICO,"CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE 5 DE MAYO ENTRE CALLE 12 DE MAYO Y CALLE 15 DE MAYO, MUNICIPIO DE TOLUCA,",SAN BUENAVENTURA,"19.261418, -99.683198","19.261476, -99.683701","19.261516, -99.684143",645,"$1,521,706.80",99.23
7,CONCRETO ECOLOGICO,"CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE LOS PAJARITOS ENTRE CALLE AL REFUGIO Y CADENAMIENTO 0 MÁS 110, MUNICIPIO DE TOLUCA,",SANTIAGO TLACOTEPEC,"19.231629, -99.674684","19.232360, -99.674703","19.233411, -99.674694",839,"$1,669,461.24",129.08
8,CONCRETO ECOLOGICO,"CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE VICENTE GUERRERO ENTRE CALLE LEONARDO RODRÍGUEZ Y ABEL SALAZAR, MUNICIPIO DE TOLUCA",SAN SEBASTIAN,"19.276355, -99.634570","19.276371, -99.633535","19.276396, -99.632702",852,"$1,655,486.95",131.08
9,CONCRETO ECOLOGICO,"CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO DE LA CALLE LINDA VISTA DE CONCRETO EXISTENTE A CALLE CDA DE 5 DE MAYO, DEL. SAN FELIPE TLALMIMILOLPAN, MUNICIPIO DE TOLUCA.",SAN FELIPE TLALMIMILOLPAN,"19.237291, -99.647902","19.237943, -99.647864","19.239540, -99.647794",522,"$1,098,141.12",80.31
10,CONCRETO ECOLOGICO,"CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO DE LA CALLE ENCINOS PRIV. JOSÉ MARÍA PINO SUÁREZ ENTRE CALLE 5 DE MAYO Y CALLE LOS CEDROS, DEL. SAN PABLO AUTOPAN, MUNICIPIO DE TOLUCA",SAN PABLO AUTOPAN,,,,522,"$1,576,933.62",117.05
