"No. Contrato","Nombre de la Obra","Tipo de Obra","Inicio de Ejecucion","Termino de Ejecucion","Geolocalización P1","Geolocalización P2","Geolocalización P3","Geolocalización P4","Geolocalización P5","Geolocalización P6","Geolocalización P7","Geolocalización P8","Geolocalización P9","Geolocalización P10","Geolocalización P11","Geolocalización P12","Geolocalización P13","Geolocalización P14","Geolocalización P15"
"MT/DGOP/FAISMUN/LPN-050/2026","REHABILITACIÓN DE PAVIMENTACION CON CARPETA ASFALTICA EN LA AVENIDA VICENTE LOMBARDO TOLEDANO, 1° ETAPA, DEL TRAMO COMPRENDIDO ENTRE CALLE REVOLUCION Y CALLE INDEPENDENCIA, DELEGACION SAN MATEO OTZACATIPAN, MUNICIPIO DE TOLUCA, MÉXICO.","REHABILITACION DE ASFALTO","","","19.30940049541157, -99.58384896977562","19.309357775269284, -99.58411198858994","19.309381561500203, -99.58463497234483","19.309113173962448, -99.58577097403861","19.308624153338535, -99.58958753821564","19.308450411949284, -99.59081484825033","","","","","","","","",""
"MT/DGOP/IFAISMUN/LPN-051/2026","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN LA CALLE GUADALUPE VICTORIA, DEL TRAMO COMPRENDIDO ENTRE CALLE TOLUCA Y CALLE IGNACIO PICHARDO PAGAZA, SUBDELEGACIÓN JICALTEPEC AUTOPAN, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.373254289668303, -99.64226669577067","19.373542377765002, -99.64202078006653","19.373863951633577, -99.64138511408939","19.37507779070059, -99.64045171780825","19.380625964039666, -99.63811551256826","","","","","","","","","",""
"MT/DGOP/IFAISMUN/LPN-052/2026","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN LA AVENIDA DEL TRABAJO, DEL TRAMO COMPRENDIDO ENTRE 1RO DE MAYO Y CALLE MANUEL BUENDÍA TÉLLEZ GIRÓN, DELEGACIÓN LA MAQUINITA, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.311261826843438, -99.63985265834667","19.311231333738647, -99.64223053071397","19.31120920060831, -99.64240772863685","19.311170073211397, -99.64552192045333","","","","","","","","","","",""
"MT/DGOP/IPDM/LPN-053/2026","REHABILITACIÓN DE PAVIMENTACIÓN CON CONCRETO HIDRÁHULICO EN LA CALLE FRANCISCO VILLA, DEL TRAMO COMPRENDIDO ENTRE CALLE ROMÁN BADILLO Y PRIVADA DE FRANCISCO VILLA, DELEGACIÓN SANTA CRUZ ATZCAPOTZALTONGO, MUNICIPIO DE TOLUCA.","CONCRETO HIDRAULICO","","","19.318239837775728, -99.64440867268199","19.318343422754374, -99.64713997516137","19.31749480726167, -99.64811981552096","","","","","","","","","","","",""
"MT/DGOP/IPDM/LPN-054/2026","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN LA CALLE RINCONADA DE PINO SUÁREZ, DEL TRAMO COMPRENDIDO ENTRE EL BOULEVARD JOSÉ MARÍA PINO SUÁREZ Y LA CALLE INSTITUTO LITERARIO, DELEGACIÓN CENTRO HISTÓRICO, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.287412391332577, -99.64981186242859","19.287379224278098, -99.64934724285669","19.286774845664173, -99.64931991229365","19.286756419451876, -99.64869911807575","19.286264327073557, -99.6486478653529","","","","","","","","","",""
"MT/DGOP/IPDM/LPN-055/2026","REHABILITACIÓN DE PAVIMENTACIÓN DE CARPETA ASFÁLTICA A TRAVES DE SLURRY EN LA CALLE ALPINISMO, DEL TRAMO COMPRENDIDO ENTRE CALLE VENUSTIANO CARRANZA Y AVENIDA AL PACÍFICO, DELEGACIÓN SAN BUENAVENTURA, MUNICIPIO DE TOLUCA.","SLURRY","6/7/2026","3/10/2026","19.27310125279768, -99.68541016246763","19.266938047491777, -99.68924884273987","19.260760950668942, -99.69318762947884","19.256784211370622, -99.69564327747496","","","","","","","","","","",""
"MT/DGOP/IPDM/LPN-056/2026","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA DE LA CALLE AGUSTÍN MILLÁN EN EL TRAMO COMPRENDIDO ENTRE BOULEVARD MIGUEL ALEMÁN Y CALLE SAN ANTONIO DELEGACIÓN SAN PEDRO TOTOLTEPEC , MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.315314882884845, -99.56387627536256","19.314172847022846, -99.56658299690032","19.313943087366365, -99.5672274544053","19.313814692123568, -99.56779314488188","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-058/2026","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN EL CAMINO AL REFUGIO, DEL TRAMO COMPRENDIDO ENTRE CALLE JOSEFA ORTIZ DE DOMÍNGUEZ Y CALLE LOS CUERVOS, DELEGACIÓN SANTIAGO TLACOTEPEC, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","","","","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-059/2026","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO HIDRÁULICO EN LA CALLE EL NEVADO, DEL TRAMO COMPRENDIDO ENTRE CALLE CEDRO Y CALZADA DE LOS MISTERIOS, DELEGACIÓN CACALOMACÁN, MUNICIPIO DE TOLUCA.","CONCRETO HIDRAULICO","","","19.24769065810727, -99.70948896638475","19.24707830238898, -99.70990092163908","19.24601081194828, -99.71219735306633","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-060/2026","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN LA CALLE MANUEL GÓMEZ PEDRAZA, DEL TRAMO COMPRENDIDO ENTRE CALLE NICOLÁS BRAVO Y CALLE JOSE VICENTE VILLADA, DELEGACIÓN SAN PABLO AUTOPAN, MUNICIPIO DE TOLUCA.","CONSTRUCCION DE ASFALTO","7/7/2026","4/10/2026","19.36964447462552, -99.66807650916176","19.369492651039156, -99.66317879546806","19.36950732476934, -99.66245129870879","19.369439332920873, -99.66200749238898","19.36968267203495, -99.66034985683996","19.369705752274903, -99.65967460101783","19.369734071987235, -99.65845423620843","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-076/2026","CONSTRUCCIÓN DE SENDERO SEGURO EN LA CALLE JOSÉ MARÍA MORELOS Y PAVÓN, EN EL TRAMO COMPRENDIDO DESDE CARRETERA TOLUCA - ATLACOMULCO HASTA CALLE HEROES DE LA INDEPENDENCIA, DELEGACIÓN SAN CAYETANO MORELOS, MUNICIPIO DE TOLUCA.","SENDERO ","9/7/2026","6/10/2026","19.398574812599406, -99.71169928586774","19.398699008661527, -99.70938057486401","19.3984105951816, -99.7085276323967","19.39845200915197, -99.70471742030315","19.39924640973446, -99.70453503008808","19.39952058406009, -99.7024659477054","","","","","","","","",""
"MT/DGOP/AVGFDyFCI/LPN-077/2026","RECUPERACIÓN DE ESPACIOS PÚBLICOS CON PERSPECTIVA DE GÉNERO EN LA CALLE MANUEL BUENDÍA TÉLLEZ GIRÓN, EN EL TRAMO COMPRENDIDO DEL CADENAMIENTO 0+000 (CONCRETO EXISTENTE) A CALLE INDEPENDENCIA, CADENAMIENTO 0+000 AL 3+157, MUNICIPIO DE TOLUCA.","SENDERO ","9/7/2026","5/11/2026","19.316745145667582, -99.6443950185746","19.32283234155419, -99.64401766928239","19.325568110908716, -99.64396956914312","19.327558290434023, -99.64341575955147","19.329297887948577, -99.64276332633511","19.332705440868658, -99.64183778153769","19.33583374096225, -99.64166329359358","19.338854605434733, -99.64219434388674","19.34065134902211, -99.64225503534912","19.341231170427363, -99.64280884493981","19.343571909946508, -99.64368128470747","19.346678527693015, -99.64387853196193","19.351116415415444, -99.643408225299","19.35636583697727, -99.64340255911776","19.35867799548334, -99.64381725770245"
"MT/DGOP/FAISMUN/LPN-079/2026","REHABILITACIÓN DE PAVIMENTACIÓN DE CARPETA ASFÁLTICA A TRAVÉS DE SLURRY EN LA CALLE FELIPE VILLANUEVA, DEL TRAMO COMPRENDIDO ENTRE AVENIDA JOSÉ MARÍA MORELOS Y PAVÓN Y AVENIDA SEBASTIÁN LERDO DE TEJADA, DELEGACIÓN CIUDAD UNIVERSITARIA, MUNICIPIO DE TOLUCA.","SLURRY","27/7/2026","24/11/2026","19.287919348056086, -99.66557328124226","19.289757321638124, -99.66559473891361","19.29089148789352, -99.6656376542564","19.291439120822936, -99.66566447634597","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-080/2026","REHABILITACIÓN DE PAVIMENTACIÓN DE CARPETA ASFÁLTICA A TRAVES DE SLURRY EN LA CALLE SOR JUANA INÉS DE LA CRUZ, DEL TRAMO COMPRENDIDO ENTRE AVENIDA MORELOS Y CALLE SANTOS DEGOLLADO, DELEGACIÓN CENTRO HISTÓRICO, MUNICIPIO DE TOLUCA.","SLURRY","27/7/2026","24/11/2026","19.288226991738608, -99.65148194622095","19.289000186625483, -99.65146865030651","19.28914919008066, -99.65153597525583","19.289911735068372, -99.65153365370506","19.29181876292461, -99.65155590758687","19.292172027047624, -99.65159202242894","19.293598474591455, -99.65161854940322","19.2938804631193, -99.65162183257068","","","","","","",""
"MT/DGOP/FAISMUN/LPN-085/2026","REHABILITACIÓN DE PAVIMENTACIÓN DE CARPETA ASFÁLTICA A TRAVES DE SLURRY EN LA CALLE IGNACIO LÓPEZ RAYÓN, EN EL TRAMO COMPRENDIDO ENTRE CALLE VALENTÍN GÓMEZ FARÍAS Y CALLE SANTOS DEGOLLADO, DELEGACIÓN CENTRO HISTÓRICO, MUNICIPIO DE TOLUCA.","SLURRY","","","19.285391694578337, -99.65276855975517","19.28622557462007, -99.65280721100484","19.29003530997922, -99.6529010783322","19.293245633738536, -99.65293972958509","19.29389186014164, -99.65301151048124","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-092/2026","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA DE LA CALLE CERRADA DE FRIDA KAHLO, DEL TRAMO COMPRENDIDO ENTRE CALLE LIBERTAD AL CADENAMIENTO 0+278, DELEGACIÓN SAN FELIPE TLALMIMILOLPAN, MUNICIPIO DE TOLUCA.","CONSTRUCCION DE ASFALTO","","","19.246206267652465, -99.64317383718242","19.246302960473567, -99.64556356351984","","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-095/2026","RECONSTRUCCIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN LA CALLE SAN PABLO, EN EL TRAMO COMPRENDIDO DE CALLE SILVERIO PÉREZ Y CARRETERA A VILLA CUAUHTÉMOC, VILLAS SANTÍN, DELEGACIÓN SAUCES, MUNICIPIO DE TOLUCA.","CONSTRUCCION DE ASFALTO","","","19.370548709026114, -99.58239284999273","19.37313650314132, -99.58079086353357","","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-078/2026","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN LA CALLE ISABEL LA CATÓLICA, 2ª ETAPA, DEL TRAMO COMPRENDIDO ENTRE AV. JOSÉ MARÍA MORELOS Y PAVÓN Y CALLE NEZAHUALCÓYOTL, DELEGACIÓN SAN SEBASTIÁN, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","27/7/2026","24/10/2026","19.288100794965192, -99.64295669532537","19.285226478489363, -99.64293364047673","","","","","","","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA DE LA CALLE LEONA VICARIO, EN EL TRAMO COMPRENDIDO ENTRE AVENIDA MIGUEL HIDALGO Y AVENIDA SEBASTIÁN LERDO DE TEJADA, DELEGACIÓN CENTRO HISTÓRICO, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.29002884202387, -99.64591373501531","19.293499098013463, -99.64597972541561","","","","","","","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA DE LA CALLE FELIPE PESCADOR, EN EL TRAMO COMPRENDIDO ENTRE CALLE MAXIMILIANO ÁLVAREZ Y CALLE ALBERTO GARCÍA, DELEGACIÓN INDEPENDENCIA, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.297076623260082, -99.64012402006203","19.29704343813144, -99.64107128584108","","","","","","","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN LA CALLE ALEJANDRO VON HUMBOLDT, 2ª ETAPA, DEL TRAMO COMPRENDIDO ENTRE CALLE MIGUEL HIDALGO Y CALLE INDEPENDENCIA, DELEGACIÓN CENTRO HISTÓRICO, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.292128545805106, -99.64877032149006","19.290027340304505, -99.64867195125048","","","","","","","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN LA CALLE AURELIO VENEGAS, DEL TRAMO COMPRENDIDO ENTRE AV. SEBASTIÁN LERDO DE TEJADA Y AV. JOSÉ MARÍA MORELOS Y PAVÓN, DELEGACIÓN CIUDAD UNIVERSITARIA, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.287909153309197, -99.66756435432318","19.289603402015498, -99.66771581210125","19.29094310578241, -99.6678050450356","","","","","","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN LA CALLE MELCHOR OCAMPO, EN EL TRAMO COMPRENDIDO DE AVENIDA JOSÉ MARÍA MORELOS Y PAVÓN Y CALLE PLUTARCO GONZÁLEZ, DELEGACIÓN CENTRO HISTÓRICO, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.289147412304445, -99.6612896229457","19.28792174221441, -99.66146413682466","","","","","","","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA DE LA CALLE IGNACIO LÓPEZ RAYÓN 2ª ETAPA, EN EL TRAMO COMPRENDIDO DESDE LA CARRETERA TOLUCA-IXTLAHUACA Y CALLE JOSÉ MARÍA ARTEAGA, DELEGACIÓN SANTIAGO MILTEPEC, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.32418460406424, -99.65678922680509","19.32731211295708, -99.6565118329502","19.33755106500881, -99.65676021460865","19.34067441948376, -99.65667587623831","","","","","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN CON CARPETA ASFÁLTICA EN EL CAMINO A SAN JUAN TILAPA, DEL TRAMO COMPRENDIDO ENTRE SAN FELIPE TLALMIMILOLPAN Y CALLE DE LA CRUZ, MUNICIPIO DE TOLUCA.","REHABILITACION DE ASFALTO","","","19.223203128167032, -99.65651654615368","19.22668365491949, -99.65231124863416","19.228838498775257, -99.6505400283821","19.232228182411166, -99.64775472934524","19.23317234346348, -99.64707514573627","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-061/2026","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE IGNACIO MANUEL ALTAMIRANO, DEL TRAMO COMPRENDIDO ENTRE CALLE GENERAL ABELARDO RODRÍGUEZ Y PROLONGACIÓN GENERAL JUAN ANDREW ALMAZÁN, DELEGACIÓN DEL PARQUE, MUNICIPIO DE TOLUCA.","CONCRETO ECOLOGICO ","","","19.260567263429557, -99.65266919288953","19.261378987335164, -99.65259919074747","","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-062/2026","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE PARQUE TEPOTZOTLAN, DEL TRAMO COMPRENDIDO ENTRE CALLE PARQUE DE LOS CIERVOS Y BOULEVARD SOLIDARIDAD LAS TORRES, DELEGACIÓN ADOLFO LÓPEZ MATEOS, MUNICIPIO DE TOLUCA.","CONCRETO ECOLOGICO ","","","19.279643837322467, -99.68786268877118","19.27887768830166, -99.68779382006464","","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-063/2026","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE PARQUE VALLE ESCONDIDO, DEL TRAMO COMPRENDIDO ENTRE BOULEVARD SOLIDARIDAD LAS TORRES Y CALLE ISLA DE LAS AVES, DELEGACIÓN ADOLFO LOPEZ MATEOS, MUNICIPIO DE TOLUCA.","CONCRETO ECOLOGICO ","","","19.28042675888125, -99.69003498046207","19.279654411411084, -99.68998546927573","","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-064/2026","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE PARQUE MOLINO DE LAS FLORES, DEL TRAMO COMPRENDIDO ENTRE BOULEVARD SOLIDARIDAD LAS TORRES Y CALLE ISLA DE LAS AVES, DELEGACIÓN ADOLFO LOPEZ MATEOS, MUNICIPIO DE TOLUCA.","CONCRETO ECOLOGICO ","","","19.279985735344052, -99.69103471412896","19.280363742629678, -99.69108346668142","","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-065/2026","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE DESIERTO DEL CARMEN, DEL TRAMO COMPRENDIDO ENTRE BOULEVARD SOLIDARIDAD LAS TORRES Y CALLE PARQUE EL OCOTAL, DELEGACIÓN ADOLFO LOPEZ MATEOS, MUNICIPIO DE TOLUCA.","CONCRETO ECOLOGICO ","","","19.281362354631426, -99.6953545096794","19.28196200473121, -99.69539109924257","","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-066/2026","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE PARQUE MATLAZINCAS, DEL TRAMO COMPRENDIDO ENTRE BOULEVARD SOLIDARIDAD LAS TORRES Y CALLE LA MARQUESA, DELEGACIÓN ADOLFO LOPEZ MATEOS, MUNICIPIO DE TOLUCA.","CONCRETO ECOLOGICO ","","","19.28149943581077, -99.69588110594091","19.282820832181944, -99.69593220913562","","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-067/2026","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE PARQUE DE LOS REMEDIOS, DEL TRAMO COMPRENDIDO ENTRE BOULEVARD SOLIDARIDAD LAS TORRES Y CALLE PARQUE NEVADO DE TOLUCA, DELEGACIÓN ADOLFO LOPEZ MATEOS, MUNICIPIO DE TOLUCA.","CONCRETO ECOLOGICO ","","","19.282235223736492, -99.69803983583708","19.282529016660924, -99.69805111313615","","","","","","","","","","","","",""
"","CONSTRUCCIÓN DE PAVIMENTACIÓN CON CONCRETO ECOLÓGICO EN LA CALLE PARQUE OTOMI, DEL TRAMO COMPRENDIDO ENTRE BOULEVARD SOLIDARIDAD LAS TORRES Y CALLE PARQUE NAUCALLI, DELEGACIÓN ADOLFO LOPEZ MATEOS, MUNICIPIO DE TOLUCA.","CONCRETO ECOLOGICO ","","","19.280791078720938, -99.69372098565339","19.281152653343458, -99.69375486172687","","","","","","","","","","","","",""
