"No. Contrato","Nombre de la Obra","Tipo de Obra","Inicio de Ejecucion","Termino de Ejecucion","Geolocalización"
"MT/DGOP/IPDM/LPN-057/2026","REHABILITACIÓN DEL PARQUE LAURA MÉNDEZ DE CUENCA EN LA DELEGACIÓN SAN SEBASTIÁN, MUNICIPIO DE TOLUCA.","PARQUE ","6/7/2026","3/10/2026","19.280359052814095, -99.63353005035947"
"MT/DGOP/FAISMUN/LPN-068/2026","CONSTRUCCIÓN DE TECHADO EN EL ÁREA
DE USOS MÚLTIPLES DE LA ESCUELA PRIM.
PROFR. AGRIPÍN GARCÍA ESTRADA, C.C.T.
15EPR2287E, SUBDELEGACIÓN ARROYO
VISTA HERMOSA, MUNICIPIO DE TOLUCA","ARCOTECHO","8/7/2026","5/10/2026","19.3377260477984, -99.55072854970352 "
"MT/DGOP/FAISMUN/LPN-069/2026","CONSTRUCCIÓN DE TECHADO EN EL ÁREA DE USOS MÚLTIPLES DE LA SECUNDARIA TÉCNICA NO. 214 FEDERALIZADA SOR JUAN INÉS DE LA CRUZ, C.C.T. 15DST0219G, SUBDELEGACIÓN SAN MIGUEL TOTOLTEPEC, MUNICIPIO DE TOLUCA.","ARCOTECHO","8/7/2026","5/10/2026","19.33790193265107, -99.55075195581908"
"MT/DGOP/FAISMUN/LPN-070/2026","CONSTRUCCIÓN DE TECHADO EN EL ÁREA DE USOS MÚLTIPLES DE LA PRIMARIA EMILIANO ZAPATA, C.C.T. 15EPR0690A, SUBDELEGACIÓN SAN JOSÉ GUADALUPE OTZACATIPAN, MUNICIPIO DE TOLUCA.","ARCOTECHO","8/7/2026","5/10/2026","19.344891872976632, -99.59153384966635"
"MT/DGOP/FAISMUN/LPN-071/2026","CONSTRUCCIÓN DE TECHADO EN EL ÁREA DE USOS MÚLTIPLES DE LA ESCUELA PREPARATORIA OFICIAL NO. 139, C.C.T.15EBH0266V, SUBDELEGACIÓN JICALTEPEC AUTOPAN, MUNICIPIO DE TOLUCA.","ARCOTECHO","8/7/2026","5/10/2026","19.36918188482032, -99.646857"
"MT/DGOP/FAISMUN/LPN-072/2026","CONSTRUCCIÓN DE TECHADO EN EL ÁREA DE USOS MÚLTIPLES DEL PLANTEL 32 TOLUCA III DEL COBAEM, C.C.T. 15ECB0043R DELEGACIÓN SAN CRISTÓBAL HUICHOCHITLÁN, MUNICIPIO DE TOLUCA.","ARCOTECHO","9/7/2026","6/10/2026","19.343794306727574, -99.61926019762812"
"MT/DGOP/FAISMUN/LPN-073/2026","CONSTRUCCIÓN DE TECHADO EN EL ÁREA DE USOS MÚLTIPLES DEL CBT- NO. 1 EMILIANO ZAPATA, C.C.T. 15ECT0037, DELEGACIÓN CALIXTLAHUACA, MUNICIPIO DE TOLUCA.","ARCOTECHO","9/7/2026","6/10/2026","19.338137993410218, -99.69224129095494"
"MT/DGOP/FAISMUN/LPN-074/2026","CONSTRUCCIÓN DE TECHADO EN EL ÁREA DE USOS MÚLTIPLES DE LA SECUNDARIA IGNACIO RAMÍREZ, ES 354-12 C.C.T. 15DES0012X, COLONIA CUAUHTÉMOC, DELEGACION UNIVERSIDAD, MUNICIPIO DE TOLUCA.","ARCOTECHO","9/7/2026","6/10/2026","19.281622866875836, -99.65345178754579"
"MT/DGOP/FAISMUN/LPN-075/2026","CONSTRUCCIÓN DE TECHADO EN EL ÁREA DE USOS MÚLTIPLES DEL JARDÍN DE NIÑOS "" ROSA MARÍA QUIROZ CAMACHO"", C.C.T. 15DJN1684H, DELEGACIÓN SAN BUENAVENTURA, MUNICIPIO DE TOLUCA.","ARCOTECHO","9/7/2026","6/10/2026","19.269891063873843, -99.69645708465528"
"MT/DGOP/FAISMUN/LPN-088/2026","CONSTRUCCIÓN DE TECHADO EN EL ÁREA DE USOS MÚLTIPLES DE LA PRIMARIA JOSEFA ORTIZ DE DOMÍNGUEZ C.C.T. 15DPR03320, DELEGACIÓN SANTIAGO TLACOTEPEC, MUNICIPIO DE TOLUCA.","ARCOTECHO","28/7/2026","25/10/2026","19.230702002374986, -99.6694586604142"
"","CONSTRUCCIÓN DE TECHADO EN EL ÁREA DE USOS MÚLTIPLES DEL CENTRO DE ESTUDIOS TECNOLÓGICOS INDUSTRIALES Y DE SERVICIOS NO. 64 GRAL. LÁZARO CÁRDENAS DEL RÍO, C.C.T. 15DCT0006D, DELEGACIÓN SAN MATEO OXTOTITLÁN, MUNICIPIO DE TOLUCA.","ARCOTECHO","","","19.297208986122747, -99.69181630200052"
"","CONSTRUCCIÓN DE TECHADO EN EL ÁREA DE USOS MÚLTIPLES DEL CENTRO DE ESTUDIOS TECNOLÓGICOS INDUSTRIALES Y DE SERVICIOS NO. 64 GRAL. LÁZARO CÁRDENAS DEL RÍO, C.C.T. 15DCT0006D, DELEGACIÓN SAN MATEO OXTOTITLÁN, MUNICIPIO DE TOLUCA.","ARCOTECHO","","","19.297208986122747, -99.69181630200052"
"MT/DGOP/PROAGUA-FAISMUN/LPN-096/2026","REHABILITACIÓN DEL POZO REAL DE SAN PABLO EN LA SUBDELEGACIÓN SAN DIEGO LINARES AUTOPAN, DELEGACIÓN SAN PABLO AUTOPAN, MUNICIPIO DE TOLUCA, ESTADO DE MÉXICO.","POZO ","10/8/2026","20/12/2026","19.389342948610544, -99.64968372883617"
