Ticket,Status,Solicitud,Recibido,Actualizado,Observaciones,Calle y número,Código Postal,Coordenadas,delegacion,Colonia,Latitud_Limpia,Longitud_Limpia
613,Pendiente,Atención de Bacheo,2025-05-06 08:37:51,2025-05-20 11:51:19,avenida vía láctea fraccionamiento galaxia Toluca,Calle Vía Láctea Calle Vía Láctea,52089,"19.3968538,-99.63773049999999",,,19.3968538,-99.6377305
3144,Pendiente,Atención de Bacheo,2025-07-19 14:35:24,2026-02-13 12:31:56,Bache En Av Hidalgo ,MIguel Hidalgo,50080,"19.2887771,-99.673163",Ciudad Universitaria,,19.2887771,-99.673163
3507,Pendiente,Atención de Bacheo,2025-07-29 15:15:16,2026-02-13 13:02:11,Hoyo profundo ,Calle Rodolfo Soto Cordero,50080,"latitude:19.285764615149567, longitude:-99.66746677303342",Ciudad Universitaria,,19.28576462,-99.66746677
6078,Pendiente,Atención de Bacheo,2025-10-14 15:36:38,2025-10-14 18:14:18,Toda la calle esta fea urge bacheo o mejor dicho reencarpetar ,Libertad 110,50256,"19.2220311,-99.6706214",Santiago Tlacotepec,,19.2220311,-99.6706214
6158,Pendiente,Atención de Bacheo,2025-10-16 13:55:51,2025-10-16 16:38:17,Exactamente en la esquina de Lerma y Texcoco,Calle Norte Lerma 215–311,50040,"latitude:19.292926758858528, longitude:-99.66968317913292",Sánchez,,19.29292676,-99.66968318
6170,Pendiente,Atención de Bacheo,2025-10-16 17:36:20,2025-10-17 13:52:07,la calle presenta varios baches cercanos a los topes y no hay manera de evitarlos porque hay del lado derecho y en medio. Cuando uno pasa parece que los carros se hunden  ,Marie Curie 1210,50075,"19.3042865,-99.6300539",Independencia,,19.3042865,-99.6300539
6195,Pendiente,Atención de Bacheo,2025-10-17 15:42:26,2025-10-20 09:52:08,Frente a tienda de verduras. Están tapando baches con tierra lo que provoca lodo y polvo afectando la salud ,Calle Toluca 12,50295,"19.382616,-99.63956710000001",San Pablo Autopan,,19.382616,-99.6395671
6268,Pendiente,Atención de Bacheo,2025-10-20 13:11:25,2025-10-20 14:03:22,gran bache frente a empresa AT&T,Calle Industria Minera Calle Industria Minera,50071,"19.3020899,-99.616557",Santa Ana Tlapaltitlán,,19.3020899,-99.616557
6312,Pendiente,Atención de Bacheo,2025-10-21 15:28:28,2025-10-22 09:57:31,ya hagan algo,Fray Servando Teresa de Mier 20,50245,"19.3151008,-99.5881887",San Mateo Otzacatipan,,19.3151008,-99.5881887
6313,Pendiente,Atención de Bacheo,2025-10-21 15:29:12,2025-10-23 09:59:07,contra esquina  de primaria 15 de septiembre agrego información  de este reporte  ed tipo socabon profundo!.,Plan de Texca 201,50190,"19.2695343,-99.6385675",Santa María De Las Rosas,,19.2695343,-99.6385675
6351,Pendiente,Atención de Bacheo,2025-10-22 15:31:35,2025-10-23 10:16:05,constituyentes esquina Juan Gómez enfrente está una cruz rumbo al panteon,Juan Gómez 2a,50265,"19.2549627,-99.7016759",Cacalomacán,,19.2549627,-99.7016759
6355,Pendiente,Atención de Bacheo,2025-10-22 17:01:58,2025-10-23 10:20:36,"calle que sube por panteón de San Miguel al tanque de fierro de agua 
",Camino Viejo a Santiago Tlaxomulco 349,50040,"19.3028287,-99.6666403",Barrios Tradicionales,,19.3028287,-99.6666403
