NO. DE CONTRATO,P.U. SUPERFICIAL ,P.U. PROFUNDO 
01,$656.70,$940.14
02,$666.85,$937.54
03,$661.43,$927.16
04,$642.66,"$1,002.20"
05,$639.48,$997.24
06,$661.43,$927.16
07,$665.33,$924.28
08,$658.95,$943.17
09,$658.95,$943.17
10,$664.33,$933.99
11,$660.38,$945.18
12,$650.11,$922.16
13,$650.11,$922.16
14,$651.69,$925.30
15,$654.81,$939.77
16,$654.04,$938.67
17,$659.87,$939.87
18,$660.38,$945.18
19,$660.38,$945.18
20,$658.66,$927.87
21,$622.30,$976.22
22,$663.71,$933.64
23,$651.52,$938.19
24,$661.47,$943.45
25,$657.38,$939.01
26,$660.28,$941.76
27,$658.36,$942.34
28,$662.26,$928.78
29,$661.93,$947.39
30,$661.93,$947.39
31,$661.08,$941.53
32,$660.37,$940.56
33,$661.20,$941.77
34,$662.26,$928.78
35,$624.11,$975.50
36,$661.72,$947.13
37,$616.07,$978.95
38,$661.72,$947.13
39,$659.87,$939.87
40,$660.60,$943.71
41,$661.72,$947.13
42,$659.87,$939.87
43,$661.56,$945.10
44,$657.38,$912.66
45,$657.38,$912.64
46,$663.04,$949.02
47,$661.72,$947.13
48,$660.62,$945.52
